Scenario ID,Area,Input Highlights,Branch Conditions,Expected LOB,Expected Part Code,Expected Code Modifier,Expected Date Pattern,Business Outcome Notes
S001,PIN Shortcut,PIN starts 0910/0914; first eligibility=10; participation=PAR; partBegin = eligBegin,process10Rules early-return branch,80,A,,eff=eligBegin; end=partEnd,Immediate participating segment for program 10
S002,PIN Shortcut,PIN starts 0910/0914; first eligibility=10; participation=PAR; partBegin > eligBegin,process10Rules early-return split,80,B then A,,B: eligBegin..partBegin-1; A: partBegin..partEnd,Non-par period then participating period
S003,PIN Shortcut,PIN starts 0910/0914; first eligibility=10; no participation/non-PAR,process10Rules early-return non-par,80,B,,eff=eligBegin; end=4000-01-01,Open-ended non-participating timeline
S004,PIN Shortcut,PIN starts 0910/0914; first eligibility=36,process10Rules early-return 36,40,B,,eff=eligBegin; end=eligEnd,MedSup-only shortcut path
S005,Program 10 Core,programCode=10; participation=PAR; partBegin = eligBegin,standard loop (program10 branch),80,A,,eff=partBegin; end=partEnd,Program 10 starts participating immediately
S006,Program 10 Core,programCode=10; participation=PAR; partBegin > eligBegin,standard loop (program10 branch),80,B,,eff=eligBegin; end=partBegin-1,Initial non-par slice before PAR starts
S007,Program 10 Core,programCode=10; participation missing or non-PAR,standard loop (program10 branch),80,B,,eff=eligBegin; end=eligEnd (or extended later),Program 10 remains non-participating
S008,Gap Stitching,prev segment exists; next elig starts after >25h gap,processEligibility gap fill,same as mapped,B or A based on participationFlag,,eff=prevEnd+1; end=nextBegin-1,Fills date gaps so timeline is continuous
S009,Gap Stitching,gap segment contains participation begin,processEligibility overlap split,80,B then A,,B: gapStart..partBegin-1; A: partBegin..gapEnd,Bridge period is split at participation start
S010,Equal Date Merge,participationBegin = currentEligibilityBegin,participationBeginDate.equals branch,mapped by program,PAR or NON-PAR mapping,,same-start merge behavior,Current row aligns exactly to participation start
S011,Before/After Logic,participationBegin before eligibilityBegin,participationBeginDate.before branch,mapped by program,PAR mapping when participating,,eff=eligBegin; end=eligEnd,Branch prefers participating code assignment for period
S012,No Participation Branch,participationBeginDate is null,participationBeginDate==null branch,mapped by program,NON-PAR mapping,,eff=eligBegin; end=eligEnd,No participation defaults to non-par mapping
S013,Program 98 Override,programCode=98 encountered,hard return branch,80,I,H,eff=eligBegin; end=4000-01-01,Immediate I/H output and method returns
S014,Special Program Extraction,eligibility program in SPECIAL_PROGRAMS,"removed from eligList, added to specialProgramsEligList",80 or 40,mapped later by special pass,,n/a,Special programs processed in dedicated pass
S015,Special Program 16,special program=16,special-pass override,80 or 40,A (override from B),,effective per special pass,Program 16 can force code A in special flow
S016,Special Program 47,special program=47,getNonParStatus + special-pass mod,80,M,C,per eligibility dates,M segment with C modifier behavior
S017,Special Program 54,special program=54,getNonParStatus + special-pass mod,80,M,C,per eligibility dates,M segment with C modifier behavior
S018,Special Program 56,special program=56,getNonParStatus + special-pass mod,80,M,C,per eligibility dates,M segment with C modifier behavior
S019,Special Program 58,special program=58,getNonParStatus + special-pass mod,80,M,C,per eligibility dates,M segment with C modifier behavior
S020,Special Program 65,special program=65,getNonParStatus + special-pass mod,80,M,C,per eligibility dates,M segment with C modifier behavior
S021,Special Program 57,special program=57,getNonParStatus in special flow,80,P,,per eligibility dates,Program 57 produces P in non-par mapping
S022,Overlap Detect A-K,LOB80 has A and K with overlapping ranges,"checkForOverlap(A,K)=true",80,K preferred over A,,overlap normalized by split ranges,K wins wherever A and K overlap
S023,Overlap Detect B-N,LOB80 has B and N with overlapping ranges,"checkForOverlap(B,N)=true",80,N preferred over B,,overlap normalized by split ranges,N wins wherever B and N overlap
S024,Overlap No Conflict,A/K or B/N ranges do not overlap,checkForOverlap=false,80,unchanged,,original ranges retained,No rewrite needed
S025,Program 80 PAR Pre-Begin Dual,program80 part exists; eligBegin < partBegin; PAR; specialty dual,process80Rules dual specialty,01 and 02,B then A,,B: eligBegin..partBegin-1; A: partBegin..4000-01-01,Both Vision and Hearing timelines transition B->A
S026,Program 80 PAR Pre-Begin Hearing,program80 part exists; eligBegin < partBegin; PAR; hearing specialty,process80Rules hearing-only,02,B then A,,B: eligBegin..partBegin-1; A: partBegin..4000-01-01,Hearing-only LOB transition
S027,Program 80 PAR Pre-Begin Vision,program80 part exists; eligBegin < partBegin; PAR; vision specialty,process80Rules vision-only,01,B then A,,B: eligBegin..partBegin-1; A: partBegin..4000-01-01,Vision-only LOB transition
S028,Program 80 Non-PAR Pre-Begin,program80 part exists; eligBegin < partBegin; status non-PAR,process80Rules non-par,01/02 based on specialty,B,,eff=eligBegin; end=4000-01-01,No participating period created
S029,Program 80 Equal Begin PAR,eligBegin = partBegin; status PAR,process80Rules equal-date PAR,01/02 based on specialty,A,,eff=partBegin; end=partEnd,Exact participation window is A
S030,Program 80 Equal Begin Non-PAR,eligBegin = partBegin; status non-PAR,process80Rules equal-date non-PAR,01/02 based on specialty,B,,eff=partBegin; end=partEnd,Exact participation window is B
S031,Program 80 No Participation,program80ParticipationVO is null,process80Rules no-part,01/02 based on specialty,B,,eff=eligBegin; end=4000-01-01,Open-ended non-par for 80 path
S032,LOB Assignment Vision+Hearing,specialty in VALID_VISION_HEARING,setLobVisionHearing,01 and 02,same code as segment input,,same dates for both rows,Single logical segment duplicated across both LOBs
